Successful opening input_fpa
Successful opening new_fake10kdba
Malloc done
Memcpy FP done
Memcpy done
Malloc again done
ID 5748-1149	: 0.60825
ID 3572-714	: 0.60795
ID 2617-523	: 0.607943
ID 7379-1475	: 0.607157
ID 4292-858	: 0.60659
ID 1537-307	: 0.6054
ID 7272-1454	: 0.605354
ID 6906-1381	: 0.604822
ID 1544-308	: 0.604635
ID 751-150	: 0.604538
ID 4516-903	: 0.604308
ID 217-43	: 0.60365
ID 6876-1375	: 0.602989
ID 2584-516	: 0.602816
ID 4648-929	: 0.602669
ID 8309-1661	: 0.602573
ID 11-2	: 0.602544
ID 7063-1412	: 0.602077
ID 4802-960	: 0.601884
ID 7754-1550	: 0.601447
ID 341-68	: 0.601117
ID 6668-1333	: 0.600952
ID 2773-554	: 0.600743
ID 550-110	: 0.600426
ID 6271-1254	: 0.600326
ID 362-72	: 0.600024
ID 410-82	: 0.600023
ID 5991-1198	: 0.59983
ID 3203-640	: 0.599816
ID 7215-1443	: 0.599403
ID 1486-297	: 0.599394
ID 5011-1002	: 0.599248
ID 9951-1990	: 0.59909
ID 9158-1831	: 0.599063
ID 906-181	: 0.598757
ID 4734-946	: 0.598567
ID 5404-1080	: 0.598566
ID 8960-1792	: 0.598496
ID 8127-1625	: 0.598367
ID 9303-1860	: 0.598305
ID 8183-1636	: 0.598292
ID 3468-693	: 0.597934
ID 2947-589	: 0.597828
ID 2175-435	: 0.597821
ID 2030-406	: 0.597673
ID 6913-1382	: 0.59767
ID 4754-950	: 0.597256
ID 1092-218	: 0.597118
ID 1074-214	: 0.59704
ID 3325-665	: 0.596747
ID 6090-1218	: 0.596529
ID 3055-611	: 0.596325
ID 5693-1138	: 0.595683
ID 7658-1531	: 0.595146
ID 6201-1240	: 0.595104
ID 3796-759	: 0.59504
ID 570-114	: 0.59503
ID 5494-1098	: 0.595026
ID 4090-818	: 0.594787
ID 9236-1847	: 0.594762
ID 1564-312	: 0.594598
ID 3977-795	: 0.593917
ID 8690-1738	: 0.593542
ID 6883-1376	: 0.593344
ID 6103-1220	: 0.593254
ID 4061-812	: 0.59317
ID 854-170	: 0.593159
ID 2647-529	: 0.59292
ID 7644-1528	: 0.592719
ID 2627-525	: 0.592701
ID 9798-1959	: 0.592561
ID 4076-815	: 0.592337
